epoch,train_loss,train_acc,test_loss,test_acc
1,1.8167691360092164,0.31478,,
2,1.524869901046753,0.43634,,
1,1.8167691360092164,0.31478,,
2,1.524869901046753,0.43634,,
3,1.4034342910766602,0.48614,,
4,1.337282894821167,0.51618,,
5,1.2854454177474977,0.53562,1.5788483797073365,0.4537
6,1.2506537714767456,0.55084,,
1,2.1812782455444335,0.18976,,
2,1.944818720664978,0.26448,,
3,1.859859360923767,0.3024,,
4,1.7793766218185425,0.32528,,
5,1.723559250717163,0.33232,1.7544287338256837,0.3443
6,1.670259810333252,0.3664,,
7,1.6362459098434448,0.38576,,
8,1.6243058152770997,0.38528,,
